Columns \ Noise,0,0.005,0.01,0.015,0.02,0.03,0.04,0.05,0.06,0.08,0.1,0.12,0.15,0.18,0.2
2,1,0.615384615,0.230769231,0.276923077,0.169230769,0.061538462,0.030769231,0.076923077,0.030769231,0.015384615,0.015384615,0.015384615,0,0.015384615,0.015384615
4,1,1,0.984615385,0.907692308,0.907692308,0.646153846,0.461538462,0.446153846,0.323076923,0.169230769,0.123076923,0.076923077,0.107692308,0.061538462,0.061538462
6,1,1,1,0.969230769,1,0.953846154,0.953846154,0.969230769,0.876923077,0.676923077,0.661538462,0.538461538,0.369230769,0.353846154,0.292307692
8,1,1,1,1,1,0.969230769,0.984615385,0.953846154,0.969230769,0.876923077,0.738461538,0.707692308,0.538461538,0.446153846,0.476923077
10,1,1,1,1,1,1,1,1,0.984615385,0.969230769,0.953846154,0.892307692,0.769230769,0.707692308,0.738461538
12,1,1,1,1,1,1,1,1,0.969230769,1,1,0.969230769,0.938461538,0.861538462,0.907692308
